24070024;Deutsche Bank Privat und Geschäftskunden;63
24070075;Deutsche Bank;63
24080000;Dresdner Bank;76
24090041;Volksbank Lüneburg;28
24121000;Ritterschaftliches Kreditinstitut Stade;09
24130000;Bayer HypoVereinsbank ex Vereins und Westbank;68
24140041;Commerzbank;13
24150001;Stadtsparkasse Cuxhaven;00
24151005;Sparkasse Stade-Altes Land;00
24151116;Kreissparkasse Stade;00
24151235;Sparkasse Rotenburg-Bremervörde;00
24161594;Zevener Volksbank;28
24162898;Spar- u Darlehnskasse Börde Lamstedt-Hechthsn;28
24180001;Dresdner Bank;76
24191015;Volksbank Stade-Cuxhaven;28
24191255;Volksbank Bremervörde;28
25000000;Bundesbank;09
25010030;Postbank;24
25010111;SEB;13
25010424;Aareal Bank;09
25010600;Deutsche Hypothekenbank;01
25010700;Berlin-Hannoversche Hypothekenbank;09
25010900;Calenberger Kreditverein;28
25020200;BHF-BANK;60
25020600;GE Money Bank;41
25020700;Hanseatic Bank;16
25030000;Bayer HypoVereinsbank ex Vereins und Westbank;68
25040066;Commerzbank;13
25050000;Norddeutsche Landesbank Girozentrale;27
25050180;Sparkasse Hannover;A3
25050299;Sparkasse Hannover -alt-;A3
25055500;LBS-Norddeutsche Landesbausparkasse;26
25060000;DZ BANK;09
25060180;Bankhaus Hallbaum;00
25060701;Evangelische Kreditgenossenschaft;32
25069168;Volks- und Raiffeisenbank Leinebergland;28
25069262;Raiffeisen-Volksbank Neustadt;28
25069270;Volksbank Aller-Oker;28
25069370;Volksbank Vechelde-Wendeburg;28
25069384;Volksbank Lehre -alt-;28
25069503;Volksbank Diepholz-Barnstorf;28
25069674;Volksbank -alt-;28
25069830;Volksbank Derental -alt-;28
25070024;Deutsche Bank Privat und Geschäftskunden;63
25070086;Deutsche Bank;63
25080020;Dresdner Bank;76
25089220;Dresdner Bank ITGK;09
25090300;Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer;28
25090500;Sparda-Bank Hannover;81
25090608;Deutsche Apotheker- und Ärztebank;14
